countryname,countrycode,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017
Arab World,ARB,10385.2157567722,10141.8008468636,10470.8274955897,10518.6218225801,10561.4600996951,10523.2976830461,10766.6039883132,10988.6779048338,11393.9423686511,11421.3301654086,11771.37393496,11732.2926107619,11554.1025455082,11810.1845273513,12615.0306802116,13025.7940923737,13505.8540534244,13782.1352743183,14234.8873239441,14027.7542714297,14356.7526237734,14446.9717450307,15058.6717324087,15176.5639329096,15201.4039487484,15365.8443647735,15569.6019912827,15439.8949638421
Caribbean small states,CSS,9365.916977305171,9484.584421973281,9413.46636900337,9607.8466701424,9789.970573803321,10000.3835610683,10255.5113998606,10503.5544954264,10730.9267490147,11092.9635049672,11437.3921986517,11612.502446861,11989.1485786143,12703.0003110064,13171.2194208699,13577.4241860441,14483.9675719002,14886.0490253208,15025.5638649937,14410.1854033699,14547.7557626394,14616.7586968494,14707.4822157253,14764.5456312124,14774.9318823915,14847.3885438882,14446.3044018523,14369.4998614268
Central Europe and the Baltics,CEB,12246.3353411991,11073.8652280042,10866.1339917879,11044.7556275222,11501.0155319194,12182.6396024157,12730.3154631875,13109.1090153099,13492.8615602946,13757.0038241069,14388.0454394078,14944.7834992592,15577.4730344958,16330.411650319,17310.0929232767,18203.1704803187,19455.2996932431,20779.8278101866,21685.1382763443,20983.7746380504,21387.8933735506,22133.6824745246,22374.6845481185,22753.1176467201,23502.8680898518,24455.0405653787,25307.1919850641,26603.0758561777
Early-demographic dividend,EAR,4442.05930929303,4551.84127079068,4644.60411145428,4700.33592187489,4759.66153970329,4827.08848392245,5005.85147760955,5125.56729126443,5127.92244903749,5159.34077817357,5294.89508880525,5287.74889122916,5316.72222414579,5516.44188465222,5784.08555508666,6045.91167533073,6320.25272350188,6600.24014804087,6731.83010242892,6756.64154427794,7081.33382790402,7307.85739292918,7513.97933277514,7741.09490344614,7982.91861181269,8265.94249659392,8594.223971685689,8906.30352678304
East Asia & Pacific,EAS,4964.64011153857,5163.58667405491,5371.73656150828,5588.80136954673,5864.31546795012,6174.45798771806,6487.13408118074,6709.9232023996,6635.9016269887,6845.62512299105,7178.92680066084,7386.6593505323,7698.35784577845,8069.68272638833,8527.482289163259,9023.103040980021,9613.975369787169,10350.2884077023,10813.7370905045,11132.1973708823,11964.9478614459,12610.428203663,13242.8417583475,13897.4290988556,14518.3665986324,15143.5398153094,15788.5071386052,16526.3668804331
East Asia & Pacific (excluding high income),EAP,2226.47405972878,2362.18647397129,2568.84911769745,2799.36779734438,3047.1574918546,3297.01559808497,3543.27202576603,3736.66234759996,3726.89954609375,3903.69690857602,4149.55132261022,4377.70585995933,4671.42614065674,5026.74588201424,5422.07925315679,5886.66566346417,6451.26518012206,7158.06592121175,7690.44401433329,8201.57183953712,8925.16589230134,9592.57948132107,10232.0181367786,10878.2890005464,11517.6434470519,12169.4081250104,12838.2448561159,13577.0575405173
East Asia & Pacific (IDA & IBRD countries),TEA,2250.78413416037,2387.98875695193,2596.97002095844,2830.09557803248,3080.66770828275,3333.29631186412,3582.22830309756,3777.65331155816,3767.67114458337,3946.30448060932,4194.77497624049,4425.38487229567,4722.29575204682,5081.47821757601,5481.10454873672,5950.68737605642,6521.30800607282,7235.62540145816,7773.56597169064,8289.99235734731,9021.158181070679,9695.51830752782,10341.5624262097,10994.4665056586,11640.3422213862,12298.727903697,12974.279162532,13720.4786404628
Euro area,EMU,28105.9529018301,28755.6971746996,29024.7611122923,28710.3946612458,29332.3751485075,29985.82813233,30430.9429975961,31191.0864427254,32050.4594603402,32910.437311935,34068.5962395958,34683.8184015392,34882.8468411768,34967.9039557603,35592.0343092756,36029.0130550254,37040.4356848941,37994.6794697572,37980.214240862,36121.3260737364,36800.1823852383,37459.0288523183,37036.9706209064,36809.640300909,37198.5814590962,37863.7185797761,38485.983149138,39308.8405867199
Europe & Central Asia,ECS,20554.5934999326,20328.2014759554,19770.992073477,19367.078962327,19204.3002180146,19487.5652410887,19750.4798933392,20294.5349232973,20672.1534752601,21241.2118393004,22219.3122330125,22727.2597210066,23187.1432781451,23717.7444908749,24569.762985393,25314.0622085608,26395.0736059437,27452.3560951084,27783.3199338221,26380.3167789187,27058.4257411523,27793.5837855965,27889.694822583,28110.1737737478,28501.534764995,28846.0590168172,29241.1886530878,29949.7185726266
Europe & Central Asia (excluding high income),ECA,13647.9322103496,12835.4830378006,11372.0583991406,10624.1781779212,9443.228194737259,9250.88416354079,9197.244728431569,9406.940885186141,9228.434277719831,9451.44734194067,10209.8210046088,10550.9995572269,11132.3309417496,11898.7204846483,12868.2306122385,13758.5814110207,14872.8229392067,16018.568235579,16713.0979387715,15645.3568218472,16341.2747799055,17267.3800581594,17787.9905282679,18339.5962454717,18595.3832398069,18510.3051747882,18660.6669134071,19264.0997726758
